"","PC1","PC2","PC3","PC4","PC5"
"Col24a1",-0.0114395290976711,0.0139190082805417,-0.0307538802430113,0.0235898101215705,-0.0334983302530399
"Gldn",0.00354528626244213,0.0041442017105524,-0.00142901004413838,0.00117328872024166,0.00661429178545001
"Glra3",-0.0612081747609193,-0.115617284378861,0.0785511072826349,-0.0725047166060118,0.044326177695877
"LOC105245477",0.00273486881510458,-0.00361956295973482,-0.00302294918609963,0.00790529992777677,-0.000718185583569444
"Abca6",-0.000585156501934126,-0.00671719062665674,0.017857798698114,-0.0100475813792774,-0.0117706075419955
"Tsc22d1",0.00693653457262283,-0.0246226502876008,0.0210838628908724,0.00509896737144133,0.0115358600376884
"Chga",-0.0252689654306672,0.0172498930082273,-0.000758277418116076,0.0395807859071074,0.035484078106212
"Wbp11",0.00318317178116856,-0.0316863148130589,-0.0154312718225026,-0.000735932099032255,0.0198374281965446
"Luzp2",0.101010633435626,-0.0345240170570523,0.0588708960608113,-0.0548330449911095,-0.0983627991163652
"LOC105245304",0.000169142435991677,-0.00439911313329167,0.00993966697502324,-0.00546698623456717,0.00201390151652785
"LOC105243899",0.00217651961772226,-0.00285442868868044,0.000101076894871499,0.00209507408337344,0.000639295089789182
"Pcdhb15",-0.004457976697273,-0.00723055476016826,0.0167113618849942,0.0113021504364083,-0.00302157470239429
"Kitl",-0.0297760354831845,-0.0192302979288762,0.0284202856953991,-0.0152779462938512,0.165014636844122
"Ddx4",0.00186042482407696,0.00338004414893569,0.00251643053825947,-0.00137513215985273,-0.0102118474337609
"Jun",0.0256139786152461,-0.044108967690038,-0.0391314208999553,-0.00353001209055443,0.0568393594804727
"Ptgfr",-0.0556789602480124,0.015679051458472,-0.0304778285733928,0.0122401287033294,-0.100122932618784
"Mobp",0.0171007943158245,-0.000812173808085448,-0.0194607872253105,-0.022388319805028,0.0043807537725805
"Pde1a",0.0189055363436658,-0.00118777380630625,0.00977486484442145,-0.0277562460836707,-0.0630618088150342
"Crem",-0.0199693659305189,-0.0172480663532609,0.061393321561542,0.0482221296227573,-0.01427811421343
"9530091C08Rik",-0.0347382134930289,0.0347849242056448,-0.0164322924236019,0.0441105490849059,0.0934829122714576
"LOC105245231",-0.00133575535241563,-0.000373254158605036,0.00668413013390202,-0.00852922815102591,0.00276541780557088
