"","PC1","PC2","PC3","PC4","PC5"
"Gdpd2",-0.00620720443239146,-0.00692464260562487,0.0159086313683094,0.0276369315934502,-0.00458392504669621
"Gsta2",-0.00012345224057727,-0.0139412483562679,-0.000123798628460225,-0.00796181097719798,-0.00232954742993239
"4930444F02Rik",0.0005532958317041,0.00115392412140118,-0.000418313798807052,-0.00118236480490412,0.00110502527099338
"Fmnl1",0.0571921841158588,-0.026990264955834,-0.00105333435836649,-0.0421606111122656,-0.00736664420269714
"LOC105244301",0.00154392845038032,0.00116870918679748,-0.00374036382996505,-0.00050582562014289,0.0020954896238855
"Ncapg",-0.0023484531089536,-0.00295045689835874,-0.00108241020670481,0.00237776201737976,-0.00288080897093491
"Nppc",0.0732532931533872,0.00880881378759569,0.0333836345121153,-0.160906828326542,-7.93380432290391e-05
"Baiap2",0.000453369552395408,-0.0421792645604594,0.00905172403335327,-0.00499809541434466,-0.018016666332915
"Apaf1",-0.0656735501993396,-0.0359293723712487,0.100826047612519,0.0602694505388004,0.0343804221740733
"Hbegf",0.0231185365482732,-0.011733617091744,0.0361735560551511,-0.0347572743336786,0.0098260362730062
"Spag16",-0.000775597269879291,-0.000698740441491783,0.00225720295023442,-0.000952705517620915,0.00485564809759388
"Itga1",-0.00137967286515876,0.000697568232300109,-0.00087286581978271,-0.000155764586702354,0.00219337947294848
"Als2cr12",0.000469400324743509,0.000720212894243229,0.00287097837814495,0.00208398871474812,-0.000691940193613499
"Egr3",0.0761337843411022,-0.00989977027967535,0.0125951355255871,-0.0158704898240982,-0.0488735765721587
"Gprc5c",0.000877087231856389,0.0055973047530092,0.00291159147243689,0.000963024298691166,0.0177428913488839
"Pcsk6",0.00120181526831653,-0.00234583862276237,0.00422271049460008,-0.0039689594455859,0.000502561667025872
"Dusp6",0.113057085050174,-0.0380680325133151,-0.0755286038520919,0.0420358389867394,0.0277022131697309
"Calb1",-0.00886773203804375,-0.0284835298037763,-0.0163925018221859,0.00527293785036576,-0.0523323394827456
"Islr",0.000181362794773003,-0.000786041987023393,0.00122461272138126,0.00144642804825371,0.00319141867925243
"Oxtr",-0.000338646518897071,-0.0525923420259653,0.0451517390148404,-0.0320463012516191,0.0526477128881372
"Klf5",0.0316360065307009,-0.11817730749804,0.0942768977532811,-0.0716834088373683,0.0796344184917762
"LOC105246668",-0.00409273440322196,-0.0183161422118588,-0.0534699639206155,-0.0382878213931473,-0.0335535944574758
"4931429L15Rik",-0.00141669212763107,-0.000639982520931949,2.99711311007991e-05,0.00224132166663552,0.00239646990515908
"Arpp19",0.0158351725156298,-0.0190024148235317,-0.013793172520373,-0.0191734819423869,-0.0136948862747622
"Chgb",0.00827710040183086,0.0299181740991645,0.0201808187792054,0.0436231770745273,-0.0237851560219162
"Ncdn",-0.00939038141238604,-0.0263544016723699,0.0153738839171741,0.0214013613800221,-0.0355666182220149
"Ptgs1",0.0336072791460746,0.0833986459266604,0.0809843045041144,0.0483070201551692,-0.0143089503300483
"Col24a1",0.00178513895556378,0.0122714662589725,0.009556806278118,0.0109196645185912,-0.000458346343553884
"LOC105245230",-0.000594322073239547,0.000684484709154988,-7.40595649026694e-05,0.00219392894599874,0.000465785459593768
"Trim36",0.00122932087804415,-0.000299199471830909,0.000953577239643023,-0.00140265087446325,0.000923399820607822
"Ret",-0.00115380402897254,0.00122334189527575,0.00188334260175065,0.00311720086354486,-0.00160833541806274
"LOC105245319",0.00191940367342548,0.00124237108283983,0.000950462146947321,-0.0121642201440314,-0.00381936298610858
"Medag",0.0134670207912529,0.144537791946699,-0.0501351334003792,-0.0512186733452587,0.151166543394173
"Mt1",-0.0137067514108998,0.106598668176759,0.0893223846080879,0.0481481279827259,0.164094483044473
"Rnf144a",-0.0195802866038712,0.0310441952509716,-0.0134783181482251,-0.0293103570256104,-0.0798481331593487
"Layn",0.0762312362177084,-0.083266941242646,0.00698324694620247,-0.0847464862116277,0.00516911875478014
"Pcdhb7",-0.00106204409906011,0.00211762410761341,0.000569482013951953,-0.0128557033913577,-0.0127226582191324
"Calm2",-0.000213002469708204,0.00261040275921148,-0.0114580400547421,-0.00441735883449321,-0.00107277080493823
"Ndn",-0.0127825869295535,0.0188929563670211,0.00719027573213647,-0.0581890956829057,-0.0327438806245689
"Dclk1",0.0336898530080273,-0.0287156347201814,-0.00649366469313182,-0.0469604202598994,-0.000770461336397175
"Kctd8",-0.0208671494332671,-0.0345164115003366,-0.0497351910173737,-0.0101474374415091,-0.0732104454101204
"LOC105247072",-0.000660888636261355,0.000583492310478618,0.000627961967659955,-0.00385066980082173,0.000781499808665124
"Pax6",-0.0194645252662385,-0.0291578036286212,0.0179135130962715,0.0113818678743315,-0.00935665726131517
"LOC105243688",-0.00312105547738181,-0.00410418155590392,-0.00315762058193203,-0.000547114892477088,-0.00802328987156804
"Cd7",0.0782085344397472,0.126510307402076,0.0327709212325485,0.00524496269324102,0.00249841089217817
"Lamp5",0.000471017752492779,-0.00305635831750341,-0.0366444154822,-0.00251626858327514,-0.0705922963189162
"Pea15a",-0.0185516037310247,-0.0398696612443139,0.0257023842599923,0.0369434150210203,-0.0181346533518757
"Wfs1",0.0374087032883065,0.0179507169179863,0.193557039080456,0.0253404222687608,-0.0343051878811354
"LOC105243096",0.000844744275126487,2.0366740959207e-05,0.000901974393440756,-0.0012236695979591,0.00180566987287708
"Scg3",0.0540033017360361,0.0169213674539304,0.0221818469014946,-0.0357328026042368,-0.0217064144240732
"Rnf122",-0.00699422719916043,-0.00154539144200452,0.00417852049887974,-0.00147643043969486,0.00858087462391621
"Qrfpr",-0.0202741794403758,-0.0664449155702422,-0.103588172944872,0.0033476706689259,-0.235333159173181
"Serpini1",-0.00953808538206787,-0.0171262617593398,-0.072799214867231,-0.0157415471271758,-0.0490651647780618
"LOC105245283",0.00238850293900388,0.00278840366142615,0.000741449982663142,-0.0016351690167941,-0.0045950272466375
"Fam46a",0.00855823164380822,0.00270544311297796,-0.00479998493558587,0.00440139272616852,0.0144835962001104
"Rsph6a",-0.00165190992797045,0.0016223971136062,-0.00345706467990508,-0.00216766082181736,0.00207314379985982
"A830029E22Rik",-0.0191012197733834,-0.0761969900376333,0.00198770366870594,-0.0209854428885381,0.0549133984161001
"Adamts15",0.000492895128150449,0.000151947241736049,0.000436830865258119,-0.00143150251932117,6.01228433494861e-05
"Dkk3",0.0080794348333853,0.160931472877138,-0.0720196462217742,0.0409472953792761,-0.00786783637985201
"Wls",0.0284824318567987,-0.0607207315953523,0.0143679898001169,-0.121911434858309,0.0252472174056202
"LOC105243722",0.000519910393487862,0.00264824032538669,-0.00243014510873953,0.00108747813115883,-0.00072063033495666
"Pkia",-0.048044003793669,-0.030170412898213,0.0190885084965682,0.0110385385278203,-0.000657765732116642
"Myl4",0.01726670415571,0.0185795948250827,0.00125057565601757,-0.0244250762643249,0.00552191962001977
"Ednrb",0.0177231654671195,-0.0177021153224196,0.035527534336298,-0.0229188428641319,0.00893842194526798
"LOC102637775",-0.00126670924471808,0.00128205527327483,0.0019822569594801,-0.00374893220963518,0.00407734911956797
"Zcchc12",-0.0351046420316318,-0.0927592465422869,0.111400091694567,0.0896669618186682,-0.0302625240459156
"Fosl2",0.161645705447422,-0.0651551881087187,-0.0133238469574597,0.0337559279530846,0.000285645144658248
"LOC105246192",-0.00201476244340569,0.00454656476464014,0.00334719929221319,-0.00132583262478991,0.00338509630819436
"Trf",0.000564071407050161,0.00194916790259026,-0.00199940878718439,-0.00409144715428879,-0.00210492598032881
"Plcb3",-0.000461640366297037,0.000384554376364029,0.0033883027942613,0.00223911116039856,-0.000748391276212621
"LOC105245439",-0.00238408446263134,0.00377418444093533,0.000893772627677629,0.00274381876315149,0.000350386901102536
"Lck",-0.00972693121903555,-0.0132142372927924,-0.00595328528965069,0.0120266029764034,-0.00776230570831865
"Ccdc141",0.0020470481829419,-0.00124788913040676,0.00440930568683095,0.0015413455531931,0.00884620694389532
