,t_type,met_type,inferred_met_type
823268448,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
989369441,L6b VISp Col8a1 Rxfp1,L6b,L6b
985908331,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
957039728,L5 ET VISp Krt80,,L5 ET-2
904094833,L2/3 IT VISp Rrad,,L2/3 IT
812999794,L5 IT VISp Batf3,,L5 IT-1
889271408,L2/3 IT VISp Rrad,L2/3 IT,L2/3 IT
697521266,L6 IT VISp Penk Col27a1,,
972461174,L6 IT VISp Penk Col27a1,,
947496055,L2/3 IT VISp Agmat,L2/3 IT,L2/3 IT
961242231,L5 NP VISp Trhr Met,,L5 NP
947504249,L5 ET VISp Lgr5,,L5 ET-3
970810491,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
695440507,L5 ET VISp Krt80,L5 ET-3,L5 ET-3
693265542,L5 IT VISp Hsd11b1 Endou,,L4/L5 IT
986186887,L5 IT VISp Batf3,,L5 IT-1
983975050,L6b VISp Crh,L6b,L6b
799954058,L5 ET VISp C1ql2 Ptgfr,,L5 ET-3
948429967,L4 IT VISp Rspo1,L4 IT,L4 IT
990606480,L6 IT VISp Col18a1,L6 IT-2,L6 IT-2
644818070,L5 IT VISp Batf3,L5 IT-1,L5 IT-1
902284440,L6 CT VISp Ctxn3 Sla,L6 CT-1,L6 CT-1
673387671,L5 IT VISp Batf3,L5 IT-1,L5 IT-1
698668188,L5 NP VISp Trhr Cpne7,L5 NP,L5 NP
864068767,L6 CT VISp Ctxn3 Brinp3,L6 CT-1,L6 CT-1
973374623,L5 ET VISp Krt80,,L5 ET-3
961131679,L5 NP VISp Trhr Met,,L5 NP
901424290,L5 IT VISp Hsd11b1 Endou,L4/L5 IT,L4/L5 IT
965113010,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
970085557,L5 ET VISp C1ql2 Cdh13,,L5 ET-3
970683578,L6 IT VISp Penk Col27a1,L6 IT-2,L6 IT-2
935175357,L6 CT VISp Ctxn3 Sla,,L6 CT-1
903824576,L6 CT VISp Ctxn3 Brinp3,,L6 CT-1
